system,reef,year,month,location,simpson_index,oni_anomaly,roll_3_month_mean,date
Rowley Shoals,Clerke,1995,10,Outer Clerke,0.7999076301898009,-0.92,-0.8099999999999997,1995-10-01
Rowley Shoals,Clerke,1996,10,Outer Clerke,0.8409464640592167,-0.4,-0.3499999999999998,1996-10-01
Rowley Shoals,Clerke,1997,12,Outer Clerke,0.8020003703353549,2.32,2.4,1997-12-01
Rowley Shoals,Clerke,1998,12,Outer Clerke,0.846349152963641,-1.64,-1.4766666666666663,1998-12-01
Rowley Shoals,Clerke,2001,10,Outer Clerke,0.8499296171005588,-0.18,-0.1866666666666665,2001-10-01
Rowley Shoals,Clerke,2005,5,Outer Clerke,0.7708560781437441,0.39,0.4233333333333335,2005-05-01
Rowley Shoals,Clerke,2008,10,Outer Clerke,0.8701298584588787,-0.35,-0.24333333333333318,2008-10-01
Rowley Shoals,Clerke,2010,10,Outer Clerke,0.8690073300706593,-1.69,-1.553333333333333,2010-10-01
Rowley Shoals,Clerke,2013,10,Outer Clerke,0.8705479671215661,-0.2,-0.2533333333333332,2013-10-01
Rowley Shoals,Clerke,2016,1,Outer Clerke,0.8593515241602964,2.56,2.64,2016-01-01
Rowley Shoals,Clerke,2017,12,Outer Clerke,0.8725528861760253,-0.99,-0.8366666666666666,2017-12-01
Rowley Shoals,Clerke,2018,3,Outer Clerke,0.8412767682854474,-0.8,-0.8533333333333334,2018-03-01
Rowley Shoals,Clerke,2018,10,Outer Clerke,0.8402978633487325,0.9,0.4866666666666668,2018-10-01
Rowley Shoals,Clerke,2019,10,Outer Clerke,0.8117893411106266,0.48,0.1866666666666668,2019-10-01
Rowley Shoals,Imperieuse,1995,10,Outer Imperieuse,0.39585633283468735,-0.92,-0.8099999999999997,1995-10-01
Rowley Shoals,Imperieuse,1996,10,Outer Imperieuse,0.7506857209736562,-0.4,-0.3499999999999998,1996-10-01
Rowley Shoals,Imperieuse,1997,12,Outer Imperieuse,0.7217477073231253,2.32,2.4,1997-12-01
Rowley Shoals,Imperieuse,2001,10,Outer Imperieuse,0.8397820349571523,-0.18,-0.1866666666666665,2001-10-01
Rowley Shoals,Imperieuse,2005,5,Outer Imperieuse,0.6536449466952805,0.39,0.4233333333333335,2005-05-01
Rowley Shoals,Imperieuse,2008,10,Outer Imperieuse,0.8481277660588404,-0.35,-0.24333333333333318,2008-10-01
